Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status,actual_dropout,predicted_dropout,dropout_probability
1,1,3,9147,1,1,124.0,1,1,1,5,3,116.7,1,0,0,1,1,0,19,0,0,5,6,0,0.0,0,0,5,6,0,0.0,0,7.6,2.6,0.32,Enrolled,,1,0.9870067373117433
1,43,2,9119,1,1,115.0,1,38,19,9,6,112.2,1,0,1,1,1,0,18,0,0,5,9,2,10.0,0,0,5,9,0,0.0,0,15.5,2.8,-4.06,Enrolled,,1,0.9856250196986543
1,1,1,9773,1,1,127.0,1,37,37,9,8,123.2,1,0,0,1,0,0,18,0,0,6,12,1,11.0,0,0,6,12,0,0.0,0,9.4,-0.8,-3.12,Enrolled,,1,0.9828752443357098
1,17,4,9773,1,1,129.0,1,3,1,2,7,132.5,1,0,0,1,1,0,21,0,0,6,7,0,0.0,0,0,6,11,1,10.0,0,10.8,1.4,1.74,Enrolled,,1,0.9816948303714756
1,44,1,9130,1,39,140.0,1,19,19,5,5,140.0,1,0,1,0,0,0,20,0,1,6,11,3,12.0,0,0,6,11,2,11.0,0,12.4,0.5,1.79,Enrolled,,1,0.9806295705424951
1,1,1,9085,1,1,133.1,1,3,1,4,9,105.0,1,0,0,1,1,0,21,0,0,6,15,3,11.25,0,0,6,9,0,0.0,0,12.4,0.5,1.79,Enrolled,,1,0.9790444028389573
1,39,1,9119,1,1,139.0,1,19,19,9,7,110.3,0,0,1,1,1,0,24,0,0,5,12,1,10.0,0,0,5,11,1,11.0,0,8.9,1.4,3.51,Enrolled,,1,0.9756332449898991
1,1,1,8014,0,1,120.0,1,1,37,7,3,122.8,0,0,0,1,0,0,23,0,0,6,13,2,10.0,0,0,5,12,1,10.0,0,9.4,-0.8,-3.12,Enrolled,,1,0.9753647151734995
1,1,2,9119,1,1,140.0,1,19,19,9,9,125.7,1,0,0,1,1,0,18,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,9.4,-0.8,-3.12,Enrolled,,1,0.9745317059250186
1,17,1,9147,1,1,139.0,1,1,38,6,6,143.6,1,0,1,1,1,0,18,0,0,5,9,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Enrolled,,1,0.9742665228240928
1,1,2,9238,1,1,145.0,1,1,19,4,8,121.4,0,0,0,1,0,0,20,0,0,6,13,0,0.0,0,0,5,11,0,0.0,0,9.4,-0.8,-3.12,Enrolled,,1,0.9725267179186353
1,1,1,9147,1,1,117.0,1,37,37,9,9,120.2,1,0,0,1,0,0,20,0,0,5,9,2,10.0,0,0,5,10,2,11.0,0,7.6,2.6,0.32,Enrolled,,1,0.9720802494237015
1,39,1,9119,1,1,150.0,1,1,38,3,5,120.0,0,0,0,1,1,0,24,0,0,5,6,3,10.666666666666666,0,0,5,9,2,10.5,0,15.5,2.8,-4.06,Enrolled,,1,0.971922748258906
1,43,1,9773,1,1,119.0,1,19,37,5,5,105.0,1,0,0,1,0,0,23,0,0,6,11,3,11.333333333333334,0,0,6,7,2,11.0,0,16.2,0.3,-0.92,Enrolled,,1,0.971717768468413
1,17,5,9070,1,1,125.0,1,19,1,5,5,122.6,1,0,0,1,1,0,22,0,0,6,6,1,11.0,0,0,6,6,0,0.0,0,9.4,-0.8,-3.12,Enrolled,,1,0.9715474447949783
1,39,1,9003,1,1,133.1,1,37,37,3,8,130.0,0,0,1,1,0,1,30,0,0,6,6,0,0.0,0,0,6,6,0,0.0,0,11.1,0.6,2.02,Enrolled,,1,0.9680176728207887
1,17,4,9500,1,1,138.0,1,4,1,2,1,133.0,1,0,0,1,0,0,18,0,0,8,8,0,0.0,5,0,8,8,0,0.0,5,9.4,-0.8,-3.12,Enrolled,,1,0.9669051418148253
1,39,1,9991,0,12,133.1,1,37,37,9,9,121.5,0,0,0,1,1,0,38,0,0,5,11,2,10.5,0,0,5,9,3,11.333333333333334,1,7.6,2.6,0.32,Enrolled,,1,0.9667749748623917
1,39,1,9003,1,1,160.0,1,1,37,191,193,140.0,0,0,0,1,1,0,27,0,0,6,6,0,0.0,0,0,6,6,0,0.0,0,11.1,0.6,2.02,Enrolled,,1,0.9652989402007526
1,44,1,9003,1,1,120.0,1,1,3,144,123,120.0,0,0,0,1,1,0,19,0,0,6,17,1,11.0,0,0,6,19,0,0.0,0,16.2,0.3,-0.92,Enrolled,,1,0.9649596535230636
1,18,1,9500,1,1,128.0,1,19,1,9,4,125.8,0,0,0,1,0,1,20,0,0,8,8,0,0.0,8,0,8,8,0,0.0,8,9.4,-0.8,-3.12,Enrolled,,1,0.9646919209410263
1,15,1,9147,1,1,133.1,21,1,3,192,3,100.0,0,0,1,1,1,0,40,1,0,5,10,1,11.0,0,0,5,10,1,10.0,0,11.1,0.6,2.02,Enrolled,,1,0.963090142079691
1,1,1,9238,1,1,133.0,1,38,1,2,4,126.0,0,0,0,1,0,0,20,0,0,6,11,1,12.0,0,0,5,10,0,0.0,0,9.4,-0.8,-3.12,Enrolled,,1,0.9622584153118225
3,39,1,9003,1,1,170.0,1,1,37,6,6,170.0,0,0,1,1,0,0,47,0,0,1,1,0,0.0,0,0,6,0,0,0.0,0,8.9,1.4,3.51,Enrolled,,1,0.9608331597653533
1,17,1,9147,1,1,162.0,1,1,38,4,5,138.6,1,0,0,1,0,0,19,0,0,5,10,1,11.0,0,0,5,13,0,0.0,0,12.7,3.7,-1.7,Enrolled,,1,0.9605589463020796
1,43,4,9670,1,1,117.0,1,3,3,4,4,113.2,0,0,0,1,1,0,21,0,0,5,11,2,10.0,0,0,5,10,3,10.333333333333334,0,9.4,-0.8,-3.12,Enrolled,,1,0.9591448459272197
1,44,1,9003,1,39,140.0,1,38,1,134,134,140.0,1,0,1,1,1,0,26,0,0,6,6,0,0.0,0,0,6,7,0,0.0,0,8.9,1.4,3.51,Enrolled,,1,0.9578871110133366
1,17,3,9119,1,1,120.0,1,1,19,9,3,116.9,1,0,1,0,1,0,18,0,0,5,10,3,12.0,0,0,5,8,3,10.333333333333334,0,8.9,1.4,3.51,Enrolled,,1,0.9573531425485504
1,39,1,8014,0,1,155.0,1,19,37,4,5,117.5,0,0,0,1,0,0,34,0,0,6,6,4,13.25,0,0,6,6,0,0.0,0,12.7,3.7,-1.7,Enrolled,,1,0.9571604340531201
1,1,6,9119,1,1,135.0,1,2,1,3,5,123.5,1,0,0,1,1,0,18,0,0,5,10,0,0.0,0,0,5,10,1,10.0,3,7.6,2.6,0.32,Enrolled,,1,0.9559680943314268
1,44,1,9085,1,39,140.0,1,1,3,9,4,140.0,0,0,1,0,0,0,24,0,2,6,11,4,12.5,0,1,6,18,2,11.5,0,12.4,0.5,1.79,Enrolled,,1,0.9552451613190309
1,17,2,9238,1,1,133.0,1,2,1,3,4,136.2,1,0,0,1,0,0,19,0,0,6,14,1,11.5,0,0,6,12,2,10.5,0,7.6,2.6,0.32,Enrolled,,1,0.955104153351914
1,1,1,9119,1,1,140.0,1,37,19,9,9,166.0,1,0,1,1,1,0,20,0,0,5,7,0,0.0,0,0,5,5,0,0.0,0,9.4,-0.8,-3.12,Enrolled,,1,0.9541554616035498
1,1,4,9147,1,1,133.1,1,1,19,4,6,106.0,1,0,0,1,0,0,24,0,0,5,11,2,10.5,0,0,5,14,1,11.0,0,12.7,3.7,-1.7,Enrolled,,1,0.9537591840450489
2,39,2,9556,1,1,110.0,1,19,38,9,9,112.8,0,0,0,1,0,1,26,0,0,7,7,0,0.0,0,0,8,8,0,0.0,6,10.8,1.4,1.74,Enrolled,,1,0.9521523319771306
1,53,1,9670,1,42,140.0,1,19,37,3,6,140.0,1,0,1,1,0,0,21,0,0,6,12,1,12.0,0,0,6,11,1,11.0,0,8.9,1.4,3.51,Enrolled,,1,0.950411402278482
1,39,1,9119,1,19,133.1,1,19,19,5,3,100.9,1,0,0,1,1,0,24,0,0,5,9,1,12.0,0,0,5,6,3,10.5,0,10.8,1.4,1.74,Enrolled,,1,0.949719049084882
1,17,1,9147,1,1,115.0,1,19,19,7,7,115.0,1,0,0,1,0,0,23,0,0,5,7,2,10.0,1,0,5,9,1,12.0,0,9.4,-0.8,-3.12,Enrolled,,1,0.9493462491281737
1,18,1,9238,1,1,137.0,1,19,38,5,8,137.4,1,0,0,1,0,0,18,0,0,6,10,1,12.0,0,0,6,14,2,11.0,0,10.8,1.4,1.74,Enrolled,,1,0.949115174242012
1,17,1,9147,1,1,139.0,1,38,38,7,5,133.4,0,0,0,1,0,0,18,0,0,5,9,1,11.0,1,0,5,10,0,0.0,0,9.4,-0.8,-3.12,Enrolled,,1,0.947329002203361
1,1,1,9500,1,1,103.0,1,1,19,9,9,108.3,0,0,0,1,0,1,20,0,0,7,14,0,0.0,0,0,7,15,0,0.0,0,11.1,0.6,2.02,Enrolled,,1,0.9447120041108459
1,17,1,9119,1,1,127.0,1,19,1,4,5,115.8,0,0,0,1,1,0,20,0,0,5,10,4,11.5,0,0,5,11,0,0.0,0,13.9,-0.3,0.79,Enrolled,,1,0.9421743282005748
1,39,1,9085,1,1,140.0,1,37,19,191,163,129.3,1,0,1,1,0,0,28,0,0,6,17,0,0.0,0,0,6,6,0,0.0,0,8.9,1.4,3.51,Enrolled,,1,0.9419929734683936
2,39,1,9991,0,1,120.0,1,37,37,9,9,119.9,0,0,0,1,0,0,50,0,0,5,9,2,10.5,0,0,5,7,3,11.0,0,12.7,3.7,-1.7,Enrolled,,1,0.9406031461439401
1,43,2,9500,1,1,136.0,1,19,1,9,10,124.1,0,0,0,1,1,1,21,0,0,8,8,0,0.0,8,0,8,8,0,0.0,8,9.4,-0.8,-3.12,Enrolled,,1,0.9381323306796616
1,17,1,9147,1,1,130.0,1,19,1,7,4,117.8,1,0,0,1,1,0,20,0,0,5,8,3,11.0,0,0,5,11,3,12.0,0,10.8,1.4,1.74,Enrolled,,1,0.9380997311889455
1,44,1,9119,1,39,150.0,1,19,3,5,2,150.0,0,0,0,1,1,0,20,0,0,5,16,0,0.0,0,0,5,12,2,10.5,0,12.7,3.7,-1.7,Enrolled,,1,0.935450548794798
1,17,1,9254,1,1,136.0,1,37,37,7,7,121.7,1,0,0,1,0,0,20,0,0,6,13,3,10.333333333333334,0,0,6,12,3,10.333333333333334,0,10.8,1.4,1.74,Enrolled,,1,0.933918087832808
1,1,1,9130,1,1,138.0,1,4,5,2,2,123.0,1,0,0,1,0,0,21,0,0,5,12,1,11.0,0,0,5,9,2,10.5,0,12.7,3.7,-1.7,Enrolled,,1,0.9332126382234893
1,51,1,9147,1,1,116.0,1,3,3,2,2,115.2,0,0,1,1,1,0,32,0,2,7,16,3,12.0,0,3,8,10,3,10.333333333333334,0,8.9,1.4,3.51,Enrolled,,1,0.9321948393094739
1,15,1,9556,1,1,137.0,26,19,1,9,4,137.0,0,0,1,1,0,0,19,1,0,7,11,0,0.0,4,0,7,11,2,11.666666666666666,0,8.9,1.4,3.51,Enrolled,,1,0.9310467202075864
1,44,1,9003,1,39,130.0,1,5,3,2,2,130.0,0,0,0,1,1,0,20,0,1,7,13,3,10.666666666666666,0,0,6,14,2,11.5,0,15.5,2.8,-4.06,Enrolled,,1,0.9298188927204626
1,17,1,9147,1,1,116.0,1,38,2,9,2,112.2,1,0,0,1,0,0,20,0,0,5,8,3,11.333333333333334,0,0,5,12,2,10.666666666666666,0,10.8,1.4,1.74,Enrolled,,1,0.9292047014601993
1,17,1,9853,1,1,127.0,1,38,37,5,7,121.8,1,0,1,1,0,0,18,0,0,6,12,4,13.5,0,0,6,14,3,10.666666666666666,0,10.8,1.4,1.74,Enrolled,,1,0.9268687947416948
1,17,1,9254,1,1,122.0,1,1,1,4,9,112.9,1,0,0,1,0,0,22,0,0,6,14,4,12.25,0,0,6,11,3,11.333333333333334,0,7.6,2.6,0.32,Enrolled,,1,0.9226644384178441
2,39,1,9500,1,1,100.0,1,37,38,4,4,130.0,0,0,0,1,1,1,33,0,0,8,16,1,10.0,1,0,8,16,1,10.0,1,12.7,3.7,-1.7,Enrolled,,1,0.9224581952217795
1,1,1,9238,1,1,135.0,1,19,38,7,5,121.0,0,0,0,1,0,0,20,0,0,6,13,1,10.0,0,0,6,13,1,13.0,0,9.4,-0.8,-3.12,Enrolled,,1,0.9223489725808913
1,1,2,9670,1,1,117.0,1,37,37,9,9,111.8,0,0,0,1,0,0,22,0,0,5,8,3,12.0,0,0,5,9,2,11.0,1,7.6,2.6,0.32,Enrolled,,1,0.9214310193407589
1,43,1,9773,1,1,127.0,1,19,1,5,5,117.6,1,0,0,1,0,0,18,0,0,6,6,0,0.0,0,0,6,10,3,11.0,0,16.2,0.3,-0.92,Enrolled,,1,0.9212031605656641
4,39,1,9991,0,1,120.0,1,37,37,9,9,110.0,0,0,0,1,0,0,37,0,0,5,14,2,10.0,0,0,5,7,3,11.333333333333334,0,12.7,3.7,-1.7,Enrolled,,1,0.920789801071492
1,44,1,9119,1,39,140.0,1,1,19,4,5,140.0,1,0,0,1,1,0,22,0,0,5,9,0,0.0,0,0,5,6,2,11.666666666666666,0,10.8,1.4,1.74,Enrolled,,1,0.9206994403575164
1,1,4,9147,1,1,120.0,1,19,38,5,5,122.8,1,0,0,1,1,0,18,0,0,5,6,4,11.5,0,0,5,12,2,10.333333333333334,0,10.8,1.4,1.74,Enrolled,,1,0.9203282799212735
1,1,1,9147,1,1,123.0,1,1,1,4,6,118.8,1,0,0,1,0,0,21,0,0,5,9,3,10.666666666666666,0,0,5,13,2,12.5,0,7.6,2.6,0.32,Enrolled,,1,0.9198173500551237
1,1,2,9070,1,1,121.0,1,4,1,2,3,120.7,1,0,0,1,0,0,18,0,0,6,8,4,10.75,0,0,6,9,0,0.0,0,9.4,-0.8,-3.12,Enrolled,,1,0.9180048631286584
1,44,1,9085,1,39,140.0,1,4,38,4,5,140.0,1,0,0,1,0,0,21,0,0,6,11,4,12.75,0,0,6,19,1,11.0,0,12.4,0.5,1.79,Enrolled,,1,0.9122995356892379
1,15,1,9556,1,1,114.0,26,3,19,122,144,114.0,0,0,0,1,0,0,20,1,0,7,14,0,0.0,6,0,7,12,2,11.666666666666666,0,8.9,1.4,3.51,Enrolled,,1,0.9116492080478585
1,17,2,9147,1,1,118.0,1,19,1,9,3,113.5,1,0,1,1,0,0,20,0,0,5,10,2,11.5,0,0,5,8,3,10.0,0,11.1,0.6,2.02,Enrolled,,1,0.9088795081569013
1,1,1,9147,1,1,166.0,1,19,37,4,8,146.4,0,0,0,1,1,0,27,0,0,5,12,3,10.0,0,0,5,12,1,13.0,0,7.6,2.6,0.32,Enrolled,,1,0.9086803994115147
1,43,1,9773,1,1,128.0,1,19,38,9,7,124.2,1,0,0,1,1,0,22,0,0,6,17,3,11.333333333333334,3,0,6,14,3,12.333333333333334,0,15.5,2.8,-4.06,Enrolled,,1,0.9084563657233596
1,1,1,9670,1,1,136.0,1,2,38,143,163,129.7,1,0,0,1,1,0,19,0,0,6,10,4,12.5,0,0,6,12,1,10.0,3,16.2,0.3,-0.92,Enrolled,,1,0.908081636288222
1,44,1,9119,1,39,130.0,1,38,19,9,5,130.0,1,0,0,1,1,0,19,0,0,5,9,2,12.5,0,0,5,10,3,11.6,0,12.4,0.5,1.79,Enrolled,,1,0.9057401467545354
2,39,1,9991,0,1,130.0,1,37,37,9,9,127.8,0,0,0,1,1,0,37,0,0,5,7,4,10.75,0,0,5,7,3,11.333333333333334,0,7.6,2.6,0.32,Enrolled,,1,0.9027863744554248
1,1,1,9119,1,1,160.0,1,37,37,9,6,153.7,0,0,0,1,1,0,19,0,0,5,7,1,13.0,0,0,5,7,2,10.0,0,9.4,-0.8,-3.12,Enrolled,,1,0.9020656285488271
1,44,1,9119,1,39,140.0,1,5,41,3,2,140.0,0,0,0,1,1,0,23,0,3,7,12,3,14.0,0,1,6,12,1,14.0,0,12.4,0.5,1.79,Enrolled,,1,0.8999195835931749
2,39,1,9500,1,19,133.1,1,19,19,4,4,100.0,0,0,0,1,1,0,33,0,0,7,7,5,13.06,0,0,7,9,0,0.0,0,16.2,0.3,-0.92,Enrolled,,1,0.8992258583929538
1,1,1,9991,0,1,122.0,1,37,37,9,3,113.6,0,0,0,1,1,0,26,0,0,5,11,2,11.5,0,0,5,10,3,12.0,0,7.6,2.6,0.32,Enrolled,,1,0.8970954993034947
1,17,1,9085,1,1,125.0,1,1,38,4,9,118.4,1,0,0,1,0,0,21,0,0,5,13,3,11.333333333333334,2,0,5,12,2,10.5,1,9.4,-0.8,-3.12,Enrolled,,1,0.8969637708131024
2,39,1,9500,1,1,133.1,1,37,37,191,172,115.2,0,0,0,1,0,0,48,0,0,7,11,4,11.75,0,0,7,14,3,11.725,0,11.1,0.6,2.02,Enrolled,,1,0.8969189221526165
1,44,1,9085,1,39,130.0,1,2,2,6,6,130.0,0,0,0,0,1,0,20,0,2,6,10,5,13.2,0,1,6,21,3,12.0,0,12.4,0.5,1.79,Enrolled,,1,0.8968721972056953
1,1,1,9085,1,1,105.0,1,19,37,8,8,102.6,0,1,0,1,0,0,21,0,0,6,13,4,12.0,0,0,6,17,2,11.5,0,11.1,0.6,2.02,Enrolled,,1,0.8943071682129549
1,39,1,9991,0,1,130.0,1,37,37,9,9,130.1,0,0,0,1,0,0,25,0,0,5,8,3,11.0,0,0,5,8,3,11.25,0,10.8,1.4,1.74,Enrolled,,1,0.8901125853917441
1,17,1,9119,1,1,142.0,1,19,38,9,7,127.3,0,0,0,1,1,0,18,0,0,5,10,3,11.0,0,0,5,6,3,11.0,1,16.2,0.3,-0.92,Enrolled,,1,0.8900949569960334
1,42,1,9147,1,1,139.0,1,3,38,2,5,112.3,1,0,0,1,0,0,19,0,0,5,8,2,11.5,0,0,5,10,3,10.857142857142858,0,10.8,1.4,1.74,Enrolled,,1,0.8879240212780495
1,43,1,9147,1,1,130.0,1,37,19,9,8,130.8,0,0,0,1,1,0,22,0,0,5,5,0,0.0,0,0,5,9,3,13.333333333333334,2,16.2,0.3,-0.92,Enrolled,,1,0.8849698196563631
1,18,5,9853,1,1,110.0,1,19,37,7,7,110.0,1,0,0,1,0,0,20,0,0,6,10,4,12.75,0,0,6,14,3,11.333333333333334,0,10.8,1.4,1.74,Enrolled,,1,0.8845685204461118
1,44,1,9254,1,39,130.0,1,39,39,194,193,130.0,1,0,1,1,1,0,23,0,0,6,12,3,11.5,0,0,6,12,3,10.666666666666666,0,8.9,1.4,3.51,Enrolled,,1,0.8842407708477389
1,18,1,9254,1,1,118.0,1,38,38,5,5,123.3,1,0,0,1,1,0,26,0,0,6,10,4,10.0,0,0,6,11,3,12.0,0,9.4,-0.8,-3.12,Enrolled,,1,0.8830277237635017
1,17,5,9238,1,1,130.0,1,19,1,5,5,130.0,1,0,0,1,0,0,20,0,0,6,8,4,11.25,0,0,6,15,3,10.0,0,9.4,-0.8,-3.12,Enrolled,,1,0.881200427674833
1,18,4,9119,1,1,134.0,1,19,38,194,175,124.9,1,0,1,1,1,0,18,0,0,5,11,3,10.666666666666666,0,0,5,9,3,11.333333333333334,0,8.9,1.4,3.51,Enrolled,,1,0.8811036398677601
1,1,1,9119,1,1,128.0,1,38,38,9,7,124.5,1,0,0,1,1,0,19,0,0,5,10,3,10.666666666666666,0,0,5,9,2,14.0,2,7.6,2.6,0.32,Enrolled,,1,0.8775274872203143
1,1,1,9254,1,1,123.0,1,38,19,9,4,117.8,0,0,0,1,1,0,19,0,0,6,10,4,12.75,0,0,6,12,2,13.0,0,10.8,1.4,1.74,Enrolled,,1,0.875081422833903
1,43,1,9556,1,1,147.0,1,3,4,3,2,100.0,0,0,0,1,0,0,18,0,0,2,2,0,0.0,0,0,4,4,1,16.0,0,10.8,1.4,1.74,Enrolled,,1,0.8743286968181738
1,43,1,9085,1,1,127.0,1,3,3,2,5,100.0,0,0,0,1,0,0,21,0,0,6,11,4,11.75,0,0,6,12,3,13.666666666666666,0,13.9,-0.3,0.79,Enrolled,,1,0.8739567116521784
2,43,1,9085,1,1,160.0,1,37,37,9,7,120.0,0,0,0,1,1,0,21,0,0,5,11,0,0.0,2,0,5,11,3,11.666666666666666,1,9.4,-0.8,-3.12,Enrolled,,1,0.8733768169224244
1,1,3,9119,1,1,133.0,1,3,1,3,4,121.8,1,0,0,1,1,0,18,0,0,5,9,4,12.0,0,0,5,10,2,11.0,0,8.9,1.4,3.51,Enrolled,,1,0.8713846318810398
1,1,1,9147,1,1,143.0,1,1,1,4,6,138.8,0,0,0,0,1,0,18,0,0,5,9,3,11.333333333333334,0,0,5,8,2,13.5,0,8.9,1.4,3.51,Enrolled,,1,0.8705717977036677
1,17,4,9119,1,1,122.0,62,1,1,191,171,121.0,1,0,0,1,1,0,20,1,0,5,10,4,14.25,0,0,5,14,1,10.0,0,8.9,1.4,3.51,Enrolled,,1,0.8699201738101378
1,39,1,9991,0,1,120.0,1,38,38,3,3,140.0,0,0,0,1,0,0,25,0,0,5,11,3,10.666666666666666,0,0,5,11,3,11.333333333333334,0,15.5,2.8,-4.06,Enrolled,,1,0.8689584041080058
1,1,1,9238,1,1,135.0,1,38,38,5,7,121.0,0,0,0,1,0,0,19,0,0,6,13,3,10.333333333333334,0,0,6,12,3,10.333333333333334,0,7.6,2.6,0.32,Enrolled,,1,0.868748616511495
1,43,1,9085,1,1,130.0,1,19,38,4,9,130.0,1,0,0,0,0,0,19,0,0,6,12,5,13.0,0,0,6,12,3,11.666666666666666,0,13.9,-0.3,0.79,Enrolled,,1,0.8637716649732871
1,1,3,9254,1,1,121.0,1,19,19,9,9,125.9,1,0,0,1,0,0,22,0,0,6,10,4,10.0,0,0,6,12,2,13.5,0,9.4,-0.8,-3.12,Enrolled,,1,0.8631692551405806
1,44,1,9119,1,39,130.0,1,3,19,3,4,130.0,0,0,0,1,1,0,20,0,0,5,12,1,13.0,0,0,5,8,3,12.6,0,12.4,0.5,1.79,Enrolled,,1,0.862623670891916
1,43,1,9556,1,1,126.0,1,2,3,3,2,100.0,0,0,0,1,0,0,25,0,2,7,10,3,13.0,0,1,8,10,3,11.666666666666666,4,10.8,1.4,1.74,Enrolled,,1,0.8618299395936517
1,1,1,9773,1,1,120.0,1,38,37,9,9,114.8,1,1,0,1,0,0,19,0,0,6,11,4,12.25,0,0,6,11,3,11.0,0,7.6,2.6,0.32,Enrolled,,1,0.8613098658092496
1,1,3,9238,1,1,133.1,1,1,1,9,9,100.0,1,0,0,1,1,0,22,0,0,6,6,4,11.25,0,0,6,7,3,11.0,0,8.9,1.4,3.51,Enrolled,,1,0.8606806566905456
1,39,1,9500,1,1,120.0,1,1,3,175,121,105.9,0,0,0,1,0,0,35,0,0,3,4,3,11.816666666666668,0,0,3,3,3,11.333333333333334,0,11.1,0.6,2.02,Enrolled,,1,0.8590729545416608
